"Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.032094,0.10077,0,0.99995,0.00050682,-0.0011227,1.8379e-05,0,1.8026e-05,-9.0361e-08,0,0,0,0,1,0.3625,-2.1375,0,0
0.032093,0.10077,0,0.99995,0.00051946,-0.0011972,1.8928e-05,0,1.853e-05,-8.213e-08,0,0,0,0,1,0.365,-2.135,0,0
0.032093,0.10077,0,0.99995,0.00053229,-0.0011972,1.8928e-05,0,1.853e-05,-8.213e-08,0,0,0,0,1,0.3675,-2.1325,0,0
0.032092,0.10078,0,0.99995,0.00054513,-0.0012353,1.9124e-05,0,1.8701e-05,-8.9458e-08,0,0,0,0,1,0.37,-2.13,0,0
0.032091,0.10078,0,0.99994,0.00055828,-0.0012353,1.9124e-05,0,1.8701e-05,-8.9458e-08,0,0,0,0,1,0.3725,-2.1275,0,0
0.03209,0.10078,0,0.99994,0.00057142,-0.0013128,1.9672e-05,0,1.9199e-05,-7.9661e-08,0,0,0,0,1,0.375,-2.125,0,0
0.032089,0.10078,0,0.99994,0.00058477,-0.0013128,1.9672e-05,0,1.9199e-05,-7.9661e-08,0,0,0,0,1,0.3775,-2.1225,0,0
0.032088,0.10078,0,0.99994,0.00059812,-0.0013128,1.9672e-05,0,1.9199e-05,-7.9661e-08,0,0,0,0,1,0.38,-2.12,0,0
0.032087,0.10078,0,0.99994,0.00061177,-0.0013523,1.9865e-05,0,1.9366e-05,-8.7385e-08,0,0,0,0,1,0.3825,-2.1175,0,0
0.032086,0.10078,0,0.99994,0.00062542,-0.0014328,2.0413e-05,0,1.9858e-05,-7.8434e-08,0,0,0,0,1,0.385,-2.115,0,0
0.032086,0.10078,0,0.99994,0.00063928,-0.0014328,2.0413e-05,0,1.9858e-05,-7.8434e-08,0,0,0,0,1,0.3875,-2.1125,0,0
0.032085,0.10078,0,0.99993,0.00065314,-0.0014739,2.0606e-05,0,2.0022e-05,-8.5674e-08,0,0,0,0,1,0.39,-2.11,0,0
0.032084,0.10078,0,0.99993,0.00066728,-0.0014739,2.0606e-05,0,2.0022e-05,-8.5674e-08,0,0,0,0,1,0.3925,-2.1075,0,0
0.032083,0.10079,0,0.99993,0.00068143,-0.0015573,2.1151e-05,0,2.0507e-05,-8.0499e-08,0,0,0,0,1,0.395,-2.105,0,0
0.032082,0.10079,0,0.99993,0.00069583,-0.0015573,2.1151e-05,0,2.0507e-05,-8.0499e-08,0,0,0,0,1,0.3975,-2.1025,0,0
0.03208,0.10079,0,0.99993,0.00071023,-0.0016156,4.2741e-05,0,4.2068e-05,-2.4616e-07,0,0,0,0,1,0.4,-2.1,0,0
