"Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.034869,0.10077,0,1.0001,1,0.00010927,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.285,-2.215,0,0
0.034869,0.10077,0,1.0001,1,0.00011455,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.2875,-2.2125,0,0
0.034869,0.10077,0,1.0001,1,0.00011983,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.29,-2.21,0,0
0.034868,0.10077,0,1.0001,1,0.00012511,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.2925,-2.2075,0,0
0.034868,0.10077,0,1.0001,1,0.0001304,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.295,-2.205,0,0
0.034868,0.10077,0,1.0001,1,0.00013568,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.2975,-2.2025,0,0
0.034867,0.10077,0,1.0001,1,0.00014096,-0.00068817,0.00018997,0,0.00018989,-1.4636e-05,0,0,0,0,1,0.3,-2.2,0,0
0.034867,0.10077,0,1.0001,1,0.00014705,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.3025,-2.1975,0,0
0.034867,0.10077,0,1.0001,1,0.00015313,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.305,-2.195,0,0
0.034866,0.10077,0,1.0001,1,0.00015922,-0.00064856,9.9789e-05,0,9.9681e-05,-4.9711e-06,0,0,0,0,1,0.3075,-2.1925,0,0
